Borough,Neighborhood,Zipcode,Date,Price,Bedrooms,Title,Location,Link
Bronx,Central Bronx,10453,2018-03-12 11:13,1375,1br,Amazing One Bedroom Apt in Morris Heights/ With Elevator/ Near 4-D Tra, University Ave/Undercliff Ave,https://newyork.craigslist.org/brx/abo/d/amazing-one-bedroom-apt-in/6507050094.html
Bronx,Central Bronx,10453,2018-03-12 08:45,1450,1br,Rento Apartamento de 1 Habitacion/Completamente Renovado/Cerca tren 4-, Grand Concourse/Creston Ave,https://newyork.craigslist.org/brx/abo/d/rento-apartamento-de-1/6508362673.html
Bronx,Central Bronx,10453,2018-03-11 15:35,1324,1br,unny apt. w/ Beautiful Views! Loads of Amenities,,https://newyork.craigslist.org/brx/abo/d/unny-apt-beautiful-views/6492096941.html
Bronx,Central Bronx,10453,2018-03-11 03:33,1275,,"Studio on Grand concourse, Wont last long",,https://newyork.craigslist.org/brx/abo/d/studio-on-grand-concourse/6526396280.html
Bronx,Central Bronx,10453,2018-03-10 17:34,2000,2br,NEW LUXURY Apat 2bed 1ba in PRIME Bronx Location, MORRIS HEIGHTS,https://newyork.craigslist.org/brx/abo/d/new-luxury-apat-2bed-1ba-in/6525950998.html
Bronx,Central Bronx,10453,2018-03-10 17:31,1650,1br,*!!*NO FEE** GORGEOUS 1 BED** RENOVATED!!*, Allerton ave,https://newyork.craigslist.org/brx/abo/d/no-fee-gorgeous-1-bed/6519096063.html
Bronx,Central Bronx,10453,2018-03-10 17:31,1650,1br,-@@NO FEE** GORGEOUS 1 BED** RENOVATED!!@@-, Allerton ave,https://newyork.craigslist.org/brx/abo/d/no-fee-gorgeous-1-bed/6519096059.html
Bronx,Central Bronx,10453,2018-03-10 15:13,1650,1br,-&NO FEE** GORGEOUS 1 BED** RENOVATED!!&-, Allerton ave,https://newyork.craigslist.org/brx/abo/d/no-fee-gorgeous-1-bed/6513669174.html
Bronx,Central Bronx,10453,2018-03-10 15:13,1750,2br,-MUST SEE! GORGEOUS 2 BED** RENOVATED!, Decatur ave,https://newyork.craigslist.org/brx/abo/d/must-see-gorgeous-2-bed/6513669197.html
Bronx,Central Bronx,10453,2018-03-09 14:10,1650,1br,*&&NO FEE** GORGEOUS 1 BED** RENOVATED!!&&*, Allerton ave,https://newyork.craigslist.org/brx/abo/d/no-fee-gorgeous-1-bed/6521254594.html
Bronx,Central Bronx,10453,2018-03-09 14:03,1650,1br,*^??NO FEE** GORGEOUS 1 BED** RENOVATED!!??^*, Allerton ave,https://newyork.craigslist.org/brx/abo/d/no-fee-gorgeous-1-bed/6521254584.html
Bronx,Central Bronx,10453,2018-03-08 11:45,1900,3br,newly renovated 2 and 3 bedroom apartments available, morris heights,https://newyork.craigslist.org/brx/abo/d/newly-renovated-2-and-3/6523006822.html
Bronx,Central Bronx,10453,2018-03-01 16:49,1250,,"Apartments For Rent Bronx,", BRONX,https://newyork.craigslist.org/brx/nfb/d/apartments-for-rent-bronx/6515003451.html
Bronx,Central Bronx,10453,2018-02-12 13:05,1150,,"Apartments For Rent Bronx,", BRONX,https://newyork.craigslist.org/brx/nfb/d/apartments-for-rent-bronx/6493924948.html
Bronx,Central Bronx,10457,2018-03-13 10:29,1850,2br,Renovated 2 Bedroom Apartment for Rent, Ryer Ave,https://newyork.craigslist.org/brx/abo/d/renovated-2-bedroom-apartment/6520417585.html
Bronx,Central Bronx,10457,2018-03-13 10:29,1800,2br,Renovated 2 Bedroom Apartment for Rent, Tiebout Ave,https://newyork.craigslist.org/brx/abo/d/renovated-2-bedroom-apartment/6520421513.html
Bronx,Central Bronx,10457,2018-03-12 20:39,1400,,1400 1 BED ROOM,,https://newyork.craigslist.org/brx/abo/d/bed-room/6528546081.html
Bronx,Central Bronx,10457,2018-03-12 19:27,1000,2br,@&2 Bed&@&2 bath Floor@@&@CONCOURSE@&@bronx@&, the bronx,https://newyork.craigslist.org/brx/abo/d/2-bed2-bath/6528403974.html
Bronx,Central Bronx,10457,2018-03-12 17:20,1375,1br,"1 Bedroom 1 bathroom, brand new renovated apt. Beautiful apartment", 317 E178th street,https://newyork.craigslist.org/brx/abo/d/1-bedroom-1-bathroom-brand/6520661896.html
Bronx,Central Bronx,10457,2018-03-12 14:27,1675,2br,Gorgeous Two bedrooms Apartment Next to St Barnabas Hospital/, E 180th St,https://newyork.craigslist.org/brx/abo/d/gorgeous-two-bedrooms/6514504100.html
Bronx,Central Bronx,10457,2018-03-12 14:01,125,2br,"Room ? on Valentine ? Avenue,    /? Bedford Park ?",,https://newyork.craigslist.org/brx/abo/d/room-on-valentine-avenue/6515084729.html
Bronx,Central Bronx,10457,2018-03-12 11:17,1650,2br,VERY NICE TWO BR APT NEWLY RENOVATED/ NEAR ST BARNABAS HOSPITAL, Park Ave,https://newyork.craigslist.org/brx/abo/d/very-nice-two-br-apt-newly/6516824482.html
Bronx,Central Bronx,10457,2018-03-12 11:14,1225,,Huge Studio ALL Utilities Included w/Elevator Laundry Balcony Parking, East Tremont Avenue,https://newyork.craigslist.org/brx/fee/d/huge-studio-all-utilities/6527773236.html
Bronx,Central Bronx,10457,2018-03-12 08:45,1675,2br,Stunning Two Bedrooms Apartment Newly Renovated Located By  St Barnaba, E 180th St,https://newyork.craigslist.org/brx/abo/d/stunning-two-bedrooms/6515699384.html
Bronx,Central Bronx,10457,2018-03-11 20:22,1800,2br,Large two bedroom private house, 2103 TIEBOUT ave,https://newyork.craigslist.org/brx/abo/d/large-two-bedroom-private/6521330776.html
Bronx,Central Bronx,10457,2018-03-10 13:55,220,1br,Room up for rent, Tremont / Grand Concourse,https://newyork.craigslist.org/brx/abo/d/room-up-for-rent/6514745213.html
Bronx,Central Bronx,10457,2018-03-09 15:50,1525,1br,Stainless appliances included and new everything.,,https://newyork.craigslist.org/brx/abo/d/stainless-appliances-included/6500581465.html
Bronx,Central Bronx,10457,2018-03-09 11:53,2350,3br,COMPLETELY RENOVATED 3 BEDROOM!, Mt Hope,https://newyork.craigslist.org/brx/fee/d/completely-renovated-3-bedroom/6524349854.html
Bronx,Central Bronx,10457,2018-03-09 08:21,1350,,Studio apt... MOVE IN TODAY!!!!, white plain rd,https://newyork.craigslist.org/brx/abo/d/studio-apt-move-in-today/6524034801.html
Bronx,Central Bronx,10457,2018-03-07 22:58,1400,,Brand New Studio Sec8 Welcome !!, third ave,https://newyork.craigslist.org/brx/abo/d/brand-new-studio-sec8-welcome/6522573290.html
Bronx,Central Bronx,10457,2018-03-07 20:39,1595,1br,Nice 1br Apt By Grand Concourse Ave Bronx Aria, Grand Concourse ave,https://newyork.craigslist.org/brx/abo/d/nice-1br-apt-by-grand/6522540784.html
Bronx,Central Bronx,10457,2018-03-07 19:43,2270,3br,Newly Renovated 3BR Apt., E. Tremont,https://newyork.craigslist.org/brx/fee/d/newly-renovated-3br-apt/6522500777.html
Bronx,Central Bronx,10457,2018-03-07 12:32,2200,3br,Linc Apts,,https://newyork.craigslist.org/brx/abo/d/linc-apts/6521905197.html
Bronx,Central Bronx,10457,2018-03-06 12:52,1450,1br,Apartamento de 1 dormitorio en 4 piso con elevador, gun hill Road,https://newyork.craigslist.org/brx/abo/d/apartamento-de-1-dormitorio/6520697092.html
Bronx,Central Bronx,10457,2018-02-21 13:34,1700,2br,big two bedroom,,https://newyork.craigslist.org/mnh/fee/d/big-two-bedroom/6504996258.html
Bronx,Central Bronx,10457,2018-02-20 13:56,2200,3br,Three Bedroom Duplex Two full Bathroom Ready to move," Clinton Avenue, Bronx",https://newyork.craigslist.org/brx/fee/d/three-bedroom-duplex-two-full/6503758439.html
Bronx,Central Bronx,10457,2018-02-15 23:39,1300,1br,1 BEDROOM WALK UP, HUGHES AVE,https://newyork.craigslist.org/brx/nfb/d/1-bedroom-walk-up/6498266031.html
Bronx,Central Bronx,10457,2018-02-15 17:04,1850,2br,"NO FEE, Beautiful Renovated 2 Bedroom!",,https://newyork.craigslist.org/brx/nfb/d/no-fee-beautiful-renovated-2/6497909986.html
Bronx,Central Bronx,10460,2018-03-13 01:14,2200,3br,single family fully renovated, Bronx,https://newyork.craigslist.org/wch/abo/d/single-family-fully-renovated/6520974757.html
Bronx,Central Bronx,10460,2018-03-12 11:27,1300,,luxurious Studio For rent, Mapes Ave,https://newyork.craigslist.org/brx/abo/d/luxurious-studio-for-rent/6515576787.html
Bronx,Central Bronx,10460,2018-03-12 11:26,1450,1br,Luxury 1 Bedroom 1 Bath apartment, Mapes Ave,https://newyork.craigslist.org/brx/abo/d/luxury-1-bedroom-1-bath/6515584267.html
Bronx,Central Bronx,10460,2018-03-12 01:28,1276,,"NO NEED TO OVERPAY, RENT FROM US",,https://newyork.craigslist.org/brx/abo/d/no-need-to-overpay-rent-from/6527406818.html
Bronx,Central Bronx,10460,2018-03-11 10:22,1275,,Nice size studio in good location,,https://newyork.craigslist.org/brx/abo/d/nice-size-studio-in-good/6523391895.html
Bronx,Central Bronx,10460,2018-03-09 13:37,1950,3br,$1950 Small 3 Bedroom Apartment, parkchester,https://newyork.craigslist.org/brx/abo/d/1950-small-3-bedroom-apartment/6524338445.html
Bronx,Central Bronx,10460,2018-03-09 12:49,1950,3br,$1950 Small 3 Bedroom Apartment,,https://newyork.craigslist.org/brx/abo/d/1950-small-3-bedroom-apartment/6524336812.html
Bronx,Central Bronx,10460,2018-03-09 11:25,2000,3br,3 BEDROOM FOR RENT ALL CREDIT IS OKAY 1RST FLOOR, LELAND AVE,https://newyork.craigslist.org/brx/abo/d/3-bedroom-for-rent-all-credit/6507600262.html
Bronx,Central Bronx,10460,2018-03-08 21:30,750,,1- bedroom super apartment @@@, Parkchester,https://newyork.craigslist.org/brx/abo/d/1-bedroom-super-apartment/6523778494.html
Bronx,Central Bronx,10460,2018-03-06 13:28,2000,3br,"$2,000 3 Bedroom Apartment", Leland Avenue,https://newyork.craigslist.org/brx/abo/d/bedroom-apartment/6520632472.html
Bronx,Bronx Park and Fordham,10458,2018-03-13 16:24,1750,2br,"Fordahm area on Decatur, new and move in ready",,https://newyork.craigslist.org/brx/abo/d/fordahm-area-on-decatur-new/6529361601.html
Bronx,Bronx Park and Fordham,10458,2018-03-13 13:34,1750,2br,*~*Awesome!!GORGEOUS 2 BED** RENOVATED! *~*, Decatur ave,https://newyork.craigslist.org/brx/abo/d/awesomegorgeous-2-bed/6518467575.html
Bronx,Bronx Park and Fordham,10458,2018-03-13 13:34,1750,2br,*~*Wow!RENOVATED!GORGEOUS 2 BEDROOMS-ELEVATOR BUILDING*~*, Decatur ave,https://newyork.craigslist.org/brx/abo/d/wowrenovatedgorgeous-2/6518467649.html
Bronx,Bronx Park and Fordham,10458,2018-03-13 11:39,2500,3br,NO FEE LUXURY BUILDING IN THE HEART OF FORDHAM FREE NETFLIX,,https://newyork.craigslist.org/brx/abo/d/no-fee-luxury-building-in-the/6528957211.html
Bronx,Bronx Park and Fordham,10458,2018-03-13 10:39,1400,1br,Gut Reno! Fordham University! BD subway, Fordham heights,https://newyork.craigslist.org/brx/abo/d/gut-reno-fordham-university/6521608719.html
Bronx,Bronx Park and Fordham,10458,2018-03-13 09:34,1795,2br,FREE NETFLIX NEAR FORDHAM DECATUR AVE NEW,,https://newyork.craigslist.org/brx/abo/d/free-netflix-near-fordham/6506227122.html
Bronx,Bronx Park and Fordham,10458,2018-03-13 09:33,1795,2br,FREE NETFLIX NEAR FORDHAM DECATUR AVE NEW ??,,https://newyork.craigslist.org/brx/abo/d/free-netflix-near-fordham/6504900817.html
Bronx,Bronx Park and Fordham,10458,2018-03-13 08:45,1795,2br,"Beautiful, Sunny Apartment", Bainbridge,https://newyork.craigslist.org/brx/abo/d/beautiful-sunny-apartment/6523294311.html
Bronx,Bronx Park and Fordham,10458,2018-03-13 08:45,1295,1br,Beautiful Pre-War Apartment, Bedford Park,https://newyork.craigslist.org/brx/abo/d/beautiful-pre-war-apartment/6516100965.html
Bronx,Bronx Park and Fordham,10458,2018-03-13 08:45,1195,1br,"Spacious, Sunny Apartment", Bedford Park,https://newyork.craigslist.org/brx/abo/d/spacious-sunny-apartment/6516093389.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 19:23,1400,1br,Gut Reno! Fordham university!, Fordham heights,https://newyork.craigslist.org/brx/abo/d/gut-reno-fordham-university/6521263068.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 17:48,2500,4br,4 BEDROOM APARTMENT, KINGSBRIDGE RD,https://newyork.craigslist.org/brx/abo/d/4-bedroom-apartment/6528301503.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 16:29,600,2br,"??? Large room 4 rent. ?? Grand Concourse, D4",,https://newyork.craigslist.org/brx/abo/d/large-room-4-rent-grand/6528148147.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 15:31,1350,1br,One Bedroom Apartment Perfect for Fordham Student/ Very nice Bldng/, E 188th St,https://newyork.craigslist.org/brx/abo/d/one-bedroom-apartment-perfect/6514336512.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 15:07,1750,2br,??  NETFLIX NEAR FORDHAM DECATUR AVE NEW,,https://newyork.craigslist.org/brx/abo/d/netflix-near-fordham-decatur/6516217886.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 14:25,1000,,?? apartment for rent in  /?? Mosholu Parkway,,https://newyork.craigslist.org/brx/abo/d/apartment-for-rent-in-mosholu/6527918507.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 14:24,1400,1br,Amazing location! BD subway! Fordham University, Fordham heights,https://newyork.craigslist.org/brx/abo/d/amazing-location-bd-subway/6523596173.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 13:55,125,2br,"?? Room on Valentine Avenue,   ??  /Bedford Park",,https://newyork.craigslist.org/brx/abo/d/room-on-valentine-avenue/6527911565.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 13:20,2100,3br,Oportunidad amplio apartamento de 3 dormitorios completa remodelacion, Bainbridge Ave,https://newyork.craigslist.org/brx/abo/d/oportunidad-amplio/6506287904.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 13:20,1500,1br,Amplio apartamento de 1 dormitorio en excelente área, Selwyn,https://newyork.craigslist.org/brx/abo/d/amplio-apartamento-de-1/6514708964.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 13:06,2000,3br,VERY NICE 3 BEDROOMS APT LOCATED BY FORDHAM UNIVERSITY, Washington Ave,https://newyork.craigslist.org/brx/abo/d/very-nice-3-bedrooms-apt/6524178294.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 13:06,1350,1br,Brand New  One Bedroom Apartment Fully Renovated Located By Fordham, E Fordham Rd/ E 188th St,https://newyork.craigslist.org/brx/abo/d/brand-new-one-bedroom/6524523865.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 11:55,1475,1br,"Modern and up to date style, hear and hot water included",,https://newyork.craigslist.org/brx/abo/d/modern-and-up-to-date-style/6495702642.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 11:55,1725,2br,"Stylish and newly updated, contact us today",,https://newyork.craigslist.org/brx/abo/d/stylish-and-newly-updated/6498279588.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 11:31,1500,,Luxury 1 bedroom unit, Marion ave,https://newyork.craigslist.org/brx/abo/d/luxury-1-bedroom-unit/6519257188.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 11:25,1450,1br,Large 1 Bedroom 1 Bath apartment, Marion ave,https://newyork.craigslist.org/brx/abo/d/large-1-bedroom-1-bath/6515555175.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 11:25,1450,,1 Bedroom 1 Bath apartment, Marion ave,https://newyork.craigslist.org/brx/abo/d/1-bedroom-1-bath-apartment/6512023055.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 11:22,1500,1br,1 Bedroom 1 Bath apartment, Marion ave,https://newyork.craigslist.org/brx/abo/d/1-bedroom-1-bath-apartment/6510966723.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 10:46,1785,2br,New! 1st floor! Fordham university!, Fordham heights,https://newyork.craigslist.org/brx/abo/d/new-1st-floor-fordham/6502906372.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 10:45,1395,1br,Fordham university! BD subway!, Fordham heights,https://newyork.craigslist.org/brx/abo/d/fordham-university-bd-subway/6523341752.html
Bronx,Bronx Park and Fordham,10458,2018-03-12 08:45,1375,1br,Small Two Bedrooms Apartment /Fully Renovated Located By St Barnabas H, Beaumont Ave,https://newyork.craigslist.org/brx/abo/d/small-two-bedrooms-apartment/6512222324.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 23:47,1375,1br,24 hour move in on Marion av,,https://newyork.craigslist.org/brx/abo/d/24-hour-move-in-on-marion-av/6527356980.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 18:37,1400,1br,New! Fordham university! BD subway, Fordham heights,https://newyork.craigslist.org/brx/abo/d/new-fordham-university-bd/6522858706.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 18:30,2000,2br,Modern style Big 2 1/2  bedroom - All Utilities Included, Bedford park,https://newyork.craigslist.org/brx/abo/d/modern-style-bigbedroom-all/6523864238.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 18:29,1550,2br,2 BEDROOM APARTMENT FOR RENT- Bedford Park," 276 E. 203rd St # 1 Fl, Bronx, N.Y.",https://newyork.craigslist.org/brx/abo/d/2-bedroom-apartment-for-rent/6527117968.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 18:15,1350,1br,Mosholu *Very Large 1BR Apt  w/  No Fee -  Elevator Building, Mosholu,https://newyork.craigslist.org/brx/abo/d/mosholu-very-large-1br-apt-no/6516189752.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 18:02,2000,3br,"Washington av, close to the train and bus.",,https://newyork.craigslist.org/brx/abo/d/washington-av-close-to-the/6512118936.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 18:02,1750,2br,Clean and well maintained units in Fordham area,,https://newyork.craigslist.org/brx/abo/d/clean-and-well-maintained/6494270012.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 18:02,1700,2br,"Styleish and up to date, all is new",,https://newyork.craigslist.org/brx/abo/d/styleish-and-up-to-date-all/6522016826.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 17:55,1750,2br,"Sunny - Renovated - Fresh - Nice, Near  WEBSTER AVE",,https://newyork.craigslist.org/brx/abo/d/sunny-renovated-fresh-nice/6498153938.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 16:04,3000,5br,5 BEDROOM APARTMENT, BRONX,https://newyork.craigslist.org/brx/abo/d/5-bedroom-apartment/6526929359.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 15:13,1850,2br,very beautiful and renovated bronx apartment,,https://newyork.craigslist.org/brx/abo/d/very-beautiful-and-renovated/6526902255.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 11:46,1400,1br,Gut Reno! Fordham university! BD subway, Fordham heights,https://newyork.craigslist.org/brx/abo/d/gut-reno-fordham-university/6522193102.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 11:19,1750,2br,"Immediate availability, newly updated, and new appliances.",,https://newyork.craigslist.org/brx/abo/d/immediate-availability-newly/6495925813.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 11:19,2000,3br,"Marion masterpiece, gorgeous 3br minutes from webster av",,https://newyork.craigslist.org/brx/abo/d/marion-masterpiece-gorgeous/6502918911.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 11:19,1725,2br,"Makeover at decatur, immediate availability",,https://newyork.craigslist.org/brx/abo/d/makeover-at-decatur-immediate/6505517242.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 10:23,1400,1br,Asap move in on Webster,,https://newyork.craigslist.org/brx/abo/d/asap-move-in-on-webster/6494204423.html
Bronx,Bronx Park and Fordham,10458,2018-03-11 09:47,1450,1br,1 bedroom apt., Mosholu parkway,https://newyork.craigslist.org/brx/abo/d/1-bedroom-apt/6506005417.html
Bronx,Bronx Park and Fordham,10458,2018-03-10 21:37,1200,1br,$1200 1br 1Ba,,https://newyork.craigslist.org/brx/abo/d/1200-1br-1ba/6518381944.html
Bronx,Bronx Park and Fordham,10458,2018-03-10 17:31,1750,2br,*&&BEAUTIFUL-GORGEOUS 2 BED** RENOVATED! &*, Decatur ave,https://newyork.craigslist.org/brx/abo/d/beautiful-gorgeous-2-bed/6519096049.html
Bronx,Bronx Park and Fordham,10458,2018-03-10 17:31,1750,2br,*WOW!RENOVATED! GORGEOUS 2 BED** *, Decatur ave,https://newyork.craigslist.org/brx/abo/d/wowrenovated-gorgeous-2-bed/6519096062.html
Bronx,Bronx Park and Fordham,10458,2018-03-10 17:31,1750,2br,-@GORGEOUS 2 BED** RENOVATED! HARDWOOD FLOORS@-, Decatur ave,https://newyork.craigslist.org/brx/abo/d/gorgeous-2-bed-renovated/6513669187.html
Bronx,Bronx Park and Fordham,10458,2018-03-09 15:49,1750,2br,"Decatur makeover, appliances included.",,https://newyork.craigslist.org/brx/abo/d/decatur-makeover-appliances/6488532830.html
Bronx,Bronx Park and Fordham,10458,2018-03-09 15:20,1400,1br,One Bedroom - Art Deco Building, Moshulo & Bedford Park,https://newyork.craigslist.org/brx/abo/d/one-bedroom-art-deco-building/6519594380.html
Bronx,Bronx Park and Fordham,10458,2018-03-09 14:10,1750,2br,*~*WOW!GORGEOUS 2 BED**RENOVATED!HARDWOOD FLOORS*~*, Decatur ave,https://newyork.craigslist.org/brx/abo/d/wowgorgeous-2/6521254596.html
Bronx,Bronx Park and Fordham,10458,2018-03-09 14:03,1750,2br,*@AWESOME!!RENOVATED!  GORGEOUS 2 BED*@*, Decatur ave,https://newyork.craigslist.org/brx/abo/d/awesomerenovated-gorgeous-2/6521254589.html
Bronx,Bronx Park and Fordham,10458,2018-03-09 07:55,1400,1br,1BEDROOM... MOVE IN THIS WEEK!!!!, Valentine ave,https://newyork.craigslist.org/brx/abo/d/1bedroom-move-in-this-week/6524035038.html
Bronx,Bronx Park and Fordham,10458,2018-03-08 18:11,1550,1br,"Safe and clean complex, call us.",,https://newyork.craigslist.org/brx/abo/d/safe-and-clean-complex-call-us/6487873954.html
Bronx,Bronx Park and Fordham,10458,2018-03-08 17:59,837,1br,APT FOR TEMP. RENT/SUBLET, 502 E 189th St,https://newyork.craigslist.org/brx/abo/d/apt-for-temp-rent-sublet/6523505691.html
Bronx,Bronx Park and Fordham,10458,2018-03-08 04:00,770,1br,GORGEOUS 1 Bedroom Apartment in Bedford Park, Bronx,https://newyork.craigslist.org/brx/abo/d/gorgeous-1-bedroom-apartment/6522756260.html
Bronx,Bronx Park and Fordham,10458,2018-03-07 12:24,1980,3br,Linc or CITY FEPS,,https://newyork.craigslist.org/brx/abo/d/linc-or-city-feps/6521917000.html
Bronx,Bronx Park and Fordham,10458,2018-03-05 17:51,1410,1br,1 bedroom/ Lorillard Place, Bronx,https://newyork.craigslist.org/brx/fee/d/1-bedroom-lorillard-place/6519841341.html
Bronx,Bronx Park and Fordham,10458,2018-03-05 12:28,1625,1br,"Gorgeous, Newly Renovated One Bedroom Apartment!", MOSHOLU PARKWAY,https://newyork.craigslist.org/brx/nfb/d/gorgeous-newly-renovated-one/6519375526.html
Bronx,Bronx Park and Fordham,10458,2018-02-20 09:11,1525,,Cozy Studio Available for Immediate Move-in!, PELHAM PARKWAY,https://newyork.craigslist.org/brx/nfb/d/cozy-studio-available-for/6503342940.html
Bronx,Bronx Park and Fordham,10458,2018-02-15 09:17,1650,6br,2-Family Private Home ~~ Beautiful Duplex ~~ Best Area ~  ~R2O ~, Belmont,https://newyork.craigslist.org/brx/nfb/d/2-family-private-home/6497258228.html
Bronx,Bronx Park and Fordham,10458,2018-02-13 10:18,1950,3br,HUGE TRUE 3 BEDROOM!,,https://newyork.craigslist.org/brx/fee/d/huge-true-3-bedroom/6494957782.html
Bronx,Bronx Park and Fordham,10458,2018-02-13 10:17,1650,2br,"Spacious 2 Bed, Great Price by Fordham Plaza!", Belmont,https://newyork.craigslist.org/brx/fee/d/spacious-2-bed-great-price-by/6494955649.html
Bronx,Bronx Park and Fordham,10458,2018-02-12 19:26,1450,1br,***GUT RENOVATED*** HUGE!!!! 1 Bedroom Apartment!!!,,https://newyork.craigslist.org/brx/fee/d/gut-renovated-huge-1-bedroom/6494454746.html
